#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  56300      1.89e+00    1.83e+00      1.37e-02    1.49e-02      7.90e-02    7.63e-02    5.7e-04
  56400      1.90e+00    1.84e+00      1.78e-02    1.93e-02      7.94e-02    7.68e-02    5.7e-04
  56500      1.74e+00    1.54e+00      4.14e-03    3.82e-03      7.29e-02    6.45e-02    5.7e-04
  56600      1.75e+00    1.92e+00      4.98e-03    3.94e-03      7.35e-02    8.04e-02    5.7e-04
  56700      1.82e+00    1.71e+00      1.08e-02    9.90e-03      7.62e-02    7.14e-02    5.7e-04
  56800      1.87e+00    1.86e+00      1.66e-02    1.65e-02      7.80e-02    7.78e-02    5.7e-04
  56900      1.84e+00    1.74e+00      9.31e-03    9.22e-03      7.72e-02    7.26e-02    5.7e-04
  57000      1.72e+00    1.82e+00      3.36e-03    2.24e-03      7.21e-02    7.61e-02    5.7e-04
  57100      1.88e+00    1.92e+00      5.72e-04    1.84e-04      7.86e-02    8.03e-02    5.7e-04
  57200      1.79e+00    1.62e+00      6.40e-03    6.86e-03      7.49e-02    6.78e-02    5.7e-04
  57300      1.85e+00    1.64e+00      2.08e-02    2.01e-02      7.71e-02    6.85e-02    5.7e-04
  57400      1.84e+00    1.83e+00      4.72e-03    3.50e-03      7.72e-02    7.67e-02    5.7e-04
  57500      1.86e+00    1.92e+00      1.92e-03    2.65e-03      7.80e-02    8.05e-02    5.7e-04
  57600      1.76e+00    1.94e+00      1.42e-03    2.26e-03      7.37e-02    8.14e-02    5.7e-04
  57700      1.85e+00    2.00e+00      2.78e-03    2.18e-03      7.74e-02    8.37e-02    5.7e-04
  57800      1.85e+00    1.62e+00      2.66e-03    1.98e-03      7.73e-02    6.80e-02    5.7e-04
  57900      1.91e+00    1.69e+00      4.85e-03    1.65e-03      8.00e-02    7.10e-02    5.7e-04
  58000      1.76e+00    1.79e+00      1.25e-03    2.16e-03      7.38e-02    7.51e-02    5.7e-04
  58100      1.83e+00    1.75e+00      2.14e-02    2.22e-02      7.64e-02    7.29e-02    5.7e-04
  58200      1.84e+00    1.71e+00      1.87e-02    1.75e-02      7.66e-02    7.12e-02    5.7e-04
  58300      1.96e+00    1.95e+00      5.60e-03    6.63e-03      8.23e-02    8.17e-02    5.7e-04
  58400      1.77e+00    1.77e+00      2.52e-02    2.56e-02      7.33e-02    7.34e-02    5.7e-04
  58500      1.89e+00    1.62e+00      2.34e-02    2.39e-02      7.88e-02    6.72e-02    5.7e-04
  58600      1.92e+00    1.75e+00      9.59e-03    9.11e-03      8.03e-02    7.32e-02    5.7e-04
  58700      1.87e+00    1.59e+00      2.12e-03    1.30e-03      7.83e-02    6.68e-02    5.7e-04
  58800      1.94e+00    1.61e+00      3.05e-03    2.44e-03      8.11e-02    6.73e-02    5.7e-04
  58900      1.92e+00    1.66e+00      8.03e-04    6.73e-04      8.04e-02    6.98e-02    5.7e-04
  59000      1.80e+00    1.73e+00      1.96e-02    1.97e-02      7.51e-02    7.19e-02    5.7e-04
  59100      2.10e+00    1.70e+00      1.67e-02    1.91e-02      8.77e-02    7.07e-02    5.7e-04
  59200      1.61e+00    2.24e+00      1.70e-02    1.61e-02      6.72e-02    9.37e-02    5.7e-04
  59300      1.82e+00    1.38e+00      2.68e-03    3.05e-03      7.64e-02    5.79e-02    5.7e-04
  59400      1.75e+00    1.76e+00      3.23e-03    3.22e-03      7.35e-02    7.38e-02    5.7e-04
  59500      1.79e+00    1.66e+00      8.63e-03    8.80e-03      7.51e-02    6.93e-02    5.7e-04
  59600      1.85e+00    1.68e+00      1.80e-02    1.80e-02      7.73e-02    7.00e-02    5.7e-04
  59700      1.88e+00    1.77e+00      6.78e-03    7.48e-03      7.88e-02    7.42e-02    5.7e-04
  59800      1.81e+00    1.68e+00      1.76e-02    1.75e-02      7.57e-02    6.99e-02    5.7e-04
  59900      1.93e+00    1.90e+00      1.61e-03    4.87e-04      8.10e-02    7.98e-02    5.7e-04
  60000      1.79e+00    1.84e+00      2.03e-03    2.24e-03      7.68e-02    7.91e-02    5.4e-04
  60100      1.69e+00    1.76e+00      1.43e-02    1.51e-02      7.24e-02    7.54e-02    5.4e-04
  60200      1.64e+00    1.83e+00      2.37e-03    2.26e-03      7.04e-02    7.86e-02    5.4e-04
  60300      1.73e+00    1.70e+00      9.76e-03    9.98e-03      7.41e-02    7.30e-02    5.4e-04
  60400      1.75e+00    1.89e+00      4.09e-03    4.34e-03      7.52e-02    8.14e-02    5.4e-04
  60500      1.76e+00    1.88e+00      5.02e-04    8.59e-04      7.56e-02    8.09e-02    5.4e-04
  60600      1.63e+00    1.61e+00      9.19e-03    8.72e-03      7.00e-02    6.93e-02    5.4e-04
  60700      1.77e+00    1.87e+00      5.40e-03    7.52e-03      7.59e-02    8.03e-02    5.4e-04
  60800      1.80e+00    1.67e+00      6.52e-03    5.28e-03      7.75e-02    7.17e-02    5.4e-04
  60900      1.75e+00    1.68e+00      2.38e-02    2.45e-02      7.45e-02    7.14e-02    5.4e-04
  61000      1.64e+00    1.73e+00      8.24e-04    1.20e-03      7.06e-02    7.43e-02    5.4e-04
  61100      1.69e+00    1.67e+00      4.55e-03    4.81e-03      7.27e-02    7.16e-02    5.4e-04
  61200      1.79e+00    1.69e+00      1.85e-02    2.03e-02      7.65e-02    7.21e-02    5.4e-04
  61300      1.86e+00    1.58e+00      7.63e-03    5.69e-03      7.98e-02    6.80e-02    5.4e-04
  61400      1.78e+00    1.60e+00      9.07e-03    9.30e-03      7.63e-02    6.86e-02    5.4e-04
  61500      1.72e+00    1.77e+00      9.80e-03    8.18e-03      7.41e-02    7.60e-02    5.4e-04
  61600      1.87e+00    1.73e+00      5.45e-03    4.34e-03      8.06e-02    7.44e-02    5.4e-04
  61700      1.72e+00    1.95e+00      9.70e-03    1.01e-02      7.39e-02    8.37e-02    5.4e-04
  61800      1.87e+00    1.85e+00      1.24e-02    1.21e-02      8.03e-02    7.93e-02    5.4e-04
  61900      1.80e+00    1.65e+00      1.12e-02    1.03e-02      7.75e-02    7.08e-02    5.4e-04
  62000      1.80e+00    1.75e+00      1.34e-03    2.41e-03      7.73e-02    7.50e-02    5.4e-04
  62100      1.90e+00    1.72e+00      3.00e-02    3.09e-02      8.06e-02    7.28e-02    5.4e-04
  62200      1.64e+00    2.04e+00      2.83e-03    3.54e-03      7.05e-02    8.79e-02    5.4e-04
  62300      1.73e+00    1.67e+00      1.79e-02    1.79e-02      7.41e-02    7.16e-02    5.4e-04
  62400      1.77e+00    1.77e+00      1.13e-02    1.06e-02      7.60e-02    7.59e-02    5.4e-04
  62500      1.75e+00    1.72e+00      6.60e-03    7.30e-03      7.51e-02    7.38e-02    5.4e-04
  62600      1.77e+00    1.56e+00      1.39e-03    2.68e-03      7.59e-02    6.70e-02    5.4e-04
  62700      1.85e+00    1.91e+00      9.96e-03    1.00e-02      7.94e-02    8.21e-02    5.4e-04
  62800      1.72e+00    1.81e+00      6.55e-03    6.53e-03      7.39e-02    7.76e-02    5.4e-04
  62900      1.65e+00    1.75e+00      3.41e-03    3.32e-03      7.09e-02    7.53e-02    5.4e-04
  63000      1.62e+00    1.75e+00      7.51e-03    7.39e-03      6.94e-02    7.53e-02    5.4e-04
  63100      1.66e+00    1.84e+00      8.60e-03    8.45e-03      7.14e-02    7.89e-02    5.4e-04
  63200      1.80e+00    1.77e+00      2.32e-02    2.25e-02      7.70e-02    7.54e-02    5.4e-04
  63300      1.76e+00    1.73e+00      1.03e-02    8.83e-03      7.54e-02    7.41e-02    5.4e-04
  63400      1.83e+00    1.67e+00      1.24e-02    1.20e-02      7.87e-02    7.15e-02    5.4e-04
  63500      1.70e+00    1.73e+00      7.78e-03    5.88e-03      7.31e-02    7.42e-02    5.4e-04
  63600      1.67e+00    1.65e+00      2.04e-02    1.84e-02      7.14e-02    7.04e-02    5.4e-04
  63700      1.82e+00    1.70e+00      2.57e-03    2.09e-03      7.81e-02    7.33e-02    5.4e-04
  63800      1.75e+00    1.69e+00      2.49e-03    1.09e-03      7.51e-02    7.25e-02    5.4e-04
  63900      1.73e+00    1.47e+00      8.29e-03    8.36e-03      7.43e-02    6.33e-02    5.4e-04
  64000      1.69e+00    1.72e+00      3.44e-03    5.38e-03      7.26e-02    7.38e-02    5.4e-04
  64100      1.66e+00    1.71e+00      5.23e-03    6.01e-03      7.14e-02    7.36e-02    5.4e-04
  64200      1.76e+00    1.87e+00      1.27e-02    1.08e-02      7.53e-02    8.01e-02    5.4e-04
  64300      1.65e+00    1.81e+00      7.42e-04    4.10e-04      7.10e-02    7.77e-02    5.4e-04
  64400      1.80e+00    1.71e+00      1.66e-03    3.46e-04      7.73e-02    7.36e-02    5.4e-04
  64500      1.82e+00    1.64e+00      6.90e-03    8.12e-03      7.81e-02    7.03e-02    5.4e-04
  64600      1.83e+00    2.05e+00      2.28e-02    2.14e-02      7.83e-02    8.79e-02    5.4e-04
  64700      1.78e+00    1.70e+00      3.45e-03    4.02e-03      7.66e-02    7.33e-02    5.4e-04
  64800      1.89e+00    1.75e+00      3.04e-03    4.02e-03      8.12e-02    7.54e-02    5.4e-04
  64900      1.83e+00    1.54e+00      2.72e-04    4.04e-04      7.88e-02    6.63e-02    5.4e-04
  65000      1.75e+00    1.60e+00      1.53e-02    1.62e-02      7.70e-02    7.00e-02    5.1e-04
  65100      1.85e+00    1.77e+00      1.12e-02    1.18e-02      8.16e-02    7.80e-02    5.1e-04
  65200      1.70e+00    1.51e+00      2.86e-03    2.55e-03      7.50e-02    6.64e-02    5.1e-04
  65300      1.75e+00    1.69e+00      1.15e-03    1.73e-03      7.73e-02    7.44e-02    5.1e-04
  65400      1.56e+00    1.67e+00      1.35e-02    1.34e-02      6.88e-02    7.34e-02    5.1e-04
  65500      1.73e+00    1.60e+00      1.19e-02    1.09e-02      7.59e-02    7.06e-02    5.1e-04
  65600      1.66e+00    1.70e+00      8.89e-03    9.49e-03      7.31e-02    7.49e-02    5.1e-04
  65700      1.74e+00    1.55e+00      1.09e-02    9.40e-03      7.68e-02    6.83e-02    5.1e-04
  65800      1.70e+00    1.69e+00      2.90e-03    2.59e-03      7.48e-02    7.43e-02    5.1e-04
  65900      1.59e+00    1.66e+00      1.70e-02    1.66e-02      6.98e-02    7.28e-02    5.1e-04
  66000      1.69e+00    1.61e+00      8.42e-03    7.55e-03      7.46e-02    7.11e-02    5.1e-04
  66100      1.60e+00    1.49e+00      2.18e-03    1.78e-03      7.08e-02    6.56e-02    5.1e-04
  66200      1.62e+00    1.65e+00      1.12e-02    1.14e-02      7.13e-02    7.26e-02    5.1e-04
  66300      1.58e+00    1.63e+00      1.18e-02    1.07e-02      6.95e-02    7.19e-02    5.1e-04
  66400      1.72e+00    1.73e+00      9.83e-03    1.26e-02      7.58e-02    7.61e-02    5.1e-04
  66500      1.78e+00    1.83e+00      1.09e-02    9.99e-03      7.84e-02    8.08e-02    5.1e-04
  66600      1.75e+00    1.75e+00      4.70e-03    5.34e-03      7.72e-02    7.70e-02    5.1e-04
  66700      1.65e+00    1.70e+00      1.38e-02    1.23e-02      7.26e-02    7.49e-02    5.1e-04
  66800      1.69e+00    1.51e+00      2.24e-03    8.11e-04      7.46e-02    6.68e-02    5.1e-04
  66900      1.60e+00    1.63e+00      4.28e-03    5.70e-03      7.04e-02    7.17e-02    5.1e-04
  67000      1.66e+00    1.81e+00      7.07e-04    1.03e-03      7.33e-02    8.00e-02    5.1e-04
  67100      1.64e+00    1.80e+00      7.75e-03    6.34e-03      7.24e-02    7.94e-02    5.1e-04
  67200      1.62e+00    1.53e+00      2.94e-03    4.04e-03      7.16e-02    6.75e-02    5.1e-04
  67300      1.68e+00    1.53e+00      6.63e-03    6.09e-03      7.39e-02    6.76e-02    5.1e-04
  67400      1.68e+00    1.67e+00      1.16e-02    1.23e-02      7.40e-02    7.34e-02    5.1e-04
  67500      1.64e+00    1.62e+00      4.36e-03    3.23e-03      7.25e-02    7.16e-02    5.1e-04
  67600      1.65e+00    1.54e+00      9.72e-03    9.37e-03      7.28e-02    6.78e-02    5.1e-04
  67700      1.62e+00    1.56e+00      6.11e-03    5.76e-03      7.16e-02    6.90e-02    5.1e-04
  67800      1.76e+00    1.52e+00      1.13e-03    3.54e-03      7.78e-02    6.70e-02    5.1e-04
  67900      1.69e+00    1.74e+00      8.48e-03    8.68e-03      7.44e-02    7.66e-02    5.1e-04
  68000      1.65e+00    1.53e+00      6.05e-03    6.90e-03      7.28e-02    6.73e-02    5.1e-04
  68100      1.65e+00    1.60e+00      4.31e-03    4.18e-03      7.27e-02    7.07e-02    5.1e-04
  68200      1.69e+00    1.66e+00      2.87e-03    3.02e-03      7.46e-02    7.33e-02    5.1e-04
  68300      1.67e+00    1.52e+00      3.45e-03    4.71e-03      7.35e-02    6.68e-02    5.1e-04
  68400      1.63e+00    1.73e+00      1.74e-03    1.88e-03      7.18e-02    7.65e-02    5.1e-04
  68500      1.74e+00    1.69e+00      2.48e-03    3.27e-03      7.69e-02    7.47e-02    5.1e-04
  68600      1.75e+00    1.57e+00      9.25e-03    8.85e-03      7.72e-02    6.90e-02    5.1e-04
  68700      1.71e+00    1.73e+00      5.55e-03    5.72e-03      7.55e-02    7.61e-02    5.1e-04
  68800      1.71e+00    1.79e+00      7.03e-04    4.90e-04      7.54e-02    7.88e-02    5.1e-04
  68900      1.60e+00    1.49e+00      1.55e-02    1.51e-02      7.04e-02    6.55e-02    5.1e-04
  69000      1.73e+00    1.78e+00      2.17e-02    2.16e-02      7.58e-02    7.81e-02    5.1e-04
  69100      1.59e+00    1.74e+00      4.11e-03    2.99e-03      7.03e-02    7.68e-02    5.1e-04
  69200      1.56e+00    1.61e+00      9.12e-04    1.33e-03      6.86e-02    7.08e-02    5.1e-04
  69300      1.64e+00    1.67e+00      5.89e-03    5.68e-03      7.22e-02    7.38e-02    5.1e-04
  69400      1.85e+00    1.76e+00      4.07e-03    3.92e-03      8.17e-02    7.77e-02    5.1e-04
  69500      1.65e+00    1.65e+00      1.40e-02    1.41e-02      7.25e-02    7.26e-02    5.1e-04
  69600      1.71e+00    1.63e+00      2.18e-03    3.88e-03      7.56e-02    7.21e-02    5.1e-04
  69700      1.82e+00    1.66e+00      7.93e-03    8.10e-03      8.03e-02    7.31e-02    5.1e-04
  69800      1.66e+00    1.58e+00      1.63e-03    2.84e-03      7.31e-02    6.97e-02    5.1e-04
  69900      1.73e+00    1.53e+00      1.29e-03    4.08e-04      7.64e-02    6.74e-02    5.1e-04
  70000      1.79e+00    1.42e+00      9.59e-03    9.06e-03      8.09e-02    6.43e-02    4.9e-04
  70100      1.70e+00    1.56e+00      2.81e-03    3.00e-03      7.69e-02    7.06e-02    4.9e-04
  70200      1.64e+00    1.51e+00      4.25e-03    5.36e-03      7.41e-02    6.84e-02    4.9e-04
  70300      1.57e+00    1.55e+00      4.22e-03    4.11e-03      7.09e-02    7.03e-02    4.9e-04
  70400      1.63e+00    1.63e+00      8.77e-03    8.62e-03      7.38e-02    7.36e-02    4.9e-04
  70500      1.62e+00    1.62e+00      1.12e-02    1.22e-02      7.34e-02    7.33e-02    4.9e-04
  70600      1.62e+00    1.58e+00      1.84e-03    1.74e-03      7.32e-02    7.15e-02    4.9e-04
  70700      1.69e+00    1.56e+00      1.55e-03    2.73e-04      7.63e-02    7.07e-02    4.9e-04
  70800      1.60e+00    1.69e+00      1.94e-03    1.09e-03      7.26e-02    7.65e-02    4.9e-04
  70900      1.60e+00    1.46e+00      1.01e-03    1.22e-03      7.26e-02    6.60e-02    4.9e-04
  71000      1.61e+00    1.47e+00      6.55e-03    6.63e-03      7.29e-02    6.66e-02    4.9e-04
  71100      1.61e+00    1.41e+00      6.97e-03    7.92e-03      7.27e-02    6.36e-02    4.9e-04
  71200      1.60e+00    1.72e+00      1.11e-02    1.12e-02      7.22e-02    7.75e-02    4.9e-04
  71300      1.60e+00    1.40e+00      3.63e-03    4.02e-03      7.24e-02    6.34e-02    4.9e-04
  71400      1.65e+00    1.49e+00      3.59e-03    2.64e-03      7.46e-02    6.74e-02    4.9e-04
  71500      1.59e+00    1.57e+00      9.15e-03    8.34e-03      7.18e-02    7.08e-02    4.9e-04
  71600      1.52e+00    1.51e+00      9.46e-04    6.57e-04      6.89e-02    6.82e-02    4.9e-04
  71700      1.76e+00    1.27e+00      5.65e-03    7.00e-03      7.95e-02    5.76e-02    4.9e-04
  71800      1.58e+00    1.68e+00      6.32e-03    6.64e-03      7.16e-02    7.60e-02    4.9e-04
  71900      1.68e+00    1.67e+00      3.94e-03    3.94e-03      7.61e-02    7.53e-02    4.9e-04
  72000      1.49e+00    1.61e+00      3.02e-03    2.91e-03      6.76e-02    7.29e-02    4.9e-04
  72100      1.68e+00    1.64e+00      4.60e-03    4.27e-03      7.58e-02    7.41e-02    4.9e-04
  72200      1.54e+00    1.57e+00      3.06e-03    2.51e-03      6.97e-02    7.13e-02    4.9e-04
  72300      1.52e+00    1.56e+00      1.11e-03    1.10e-03      6.89e-02    7.05e-02    4.9e-04
  72400      1.63e+00    1.72e+00      4.23e-03    5.72e-03      7.38e-02    7.79e-02    4.9e-04
  72500      1.64e+00    1.63e+00      3.77e-03    3.99e-03      7.43e-02    7.39e-02    4.9e-04
  72600      1.67e+00    1.48e+00      1.10e-02    9.82e-03      7.52e-02    6.68e-02    4.9e-04
  72700      1.60e+00    1.80e+00      4.89e-03    3.78e-03      7.26e-02    8.15e-02    4.9e-04
  72800      1.63e+00    1.65e+00      3.73e-03    3.05e-03      7.38e-02    7.46e-02    4.9e-04
  72900      1.64e+00    1.64e+00      2.86e-03    2.42e-03      7.40e-02    7.43e-02    4.9e-04
  73000      1.67e+00    1.50e+00      1.56e-03    8.52e-04      7.56e-02    6.78e-02    4.9e-04
  73100      1.60e+00    1.55e+00      1.81e-02    1.71e-02      7.20e-02    6.95e-02    4.9e-04
  73200      1.79e+00    1.62e+00      5.88e-03    5.15e-03      8.09e-02    7.31e-02    4.9e-04
  73300      1.64e+00    1.58e+00      2.66e-03    3.53e-03      7.44e-02    7.16e-02    4.9e-04
  73400      1.84e+00    1.93e+00      9.08e-03    8.30e-03      8.34e-02    8.73e-02    4.9e-04
  73500      1.58e+00    1.64e+00      1.40e-02    1.45e-02      7.10e-02    7.41e-02    4.9e-04
  73600      1.74e+00    1.62e+00      1.81e-03    2.62e-03      7.90e-02    7.33e-02    4.9e-04
  73700      1.61e+00    1.74e+00      9.14e-03    1.01e-02      7.27e-02    7.84e-02    4.9e-04
  73800      1.67e+00    1.43e+00      6.24e-03    4.44e-03      7.53e-02    6.49e-02    4.9e-04
  73900      1.63e+00    1.68e+00      1.33e-02    1.23e-02      7.36e-02    7.60e-02    4.9e-04
  74000      1.58e+00    1.52e+00      1.66e-02    1.58e-02      7.13e-02    6.83e-02    4.9e-04
  74100      1.67e+00    1.71e+00      4.33e-03    4.05e-03      7.56e-02    7.74e-02    4.9e-04
  74200      1.58e+00    1.64e+00      3.80e-03    4.39e-03      7.17e-02    7.41e-02    4.9e-04
  74300      1.68e+00    1.72e+00      1.08e-03    1.36e-03      7.61e-02    7.78e-02    4.9e-04
  74400      1.65e+00    1.58e+00      2.18e-03    1.86e-03      7.48e-02    7.17e-02    4.9e-04
  74500      1.66e+00    1.55e+00      1.19e-02    1.26e-02      7.48e-02    6.99e-02    4.9e-04
  74600      1.64e+00    1.84e+00      1.71e-03    1.56e-03      7.42e-02    8.34e-02    4.9e-04
  74700      1.52e+00    1.59e+00      1.05e-03    5.44e-04      6.89e-02    7.18e-02    4.9e-04
  74800      1.62e+00    1.59e+00      1.54e-03    1.96e-03      7.34e-02    7.19e-02    4.9e-04
  74900      1.61e+00    1.59e+00      5.25e-03    6.95e-03      7.28e-02    7.20e-02    4.9e-04
  75000      1.58e+00    1.48e+00      6.56e-03    7.06e-03      7.32e-02    6.88e-02    4.6e-04
  75100      1.53e+00    1.56e+00      4.04e-03    3.79e-03      7.12e-02    7.24e-02    4.6e-04
  75200      1.63e+00    1.52e+00      6.05e-04    1.53e-03      7.57e-02    7.04e-02    4.6e-04
  75300      1.50e+00    1.59e+00      1.50e-02    1.49e-02      6.94e-02    7.35e-02    4.6e-04
  75400      1.70e+00    1.62e+00      5.50e-03    5.12e-03      7.88e-02    7.52e-02    4.6e-04
  75500      1.55e+00    1.61e+00      5.77e-03    5.69e-03      7.17e-02    7.47e-02    4.6e-04
  75600      1.58e+00    1.42e+00      3.62e-03    4.36e-03      7.35e-02    6.57e-02    4.6e-04
  75700      1.59e+00    1.65e+00      1.62e-03    2.26e-03      7.37e-02    7.67e-02    4.6e-04
  75800      1.42e+00    1.45e+00      2.40e-03    2.57e-03      6.58e-02    6.75e-02    4.6e-04
  75900      1.53e+00    1.51e+00      4.57e-03    3.95e-03      7.10e-02    7.01e-02    4.6e-04
  76000      1.57e+00    1.61e+00      1.53e-03    7.07e-04      7.28e-02    7.48e-02    4.6e-04
  76100      1.51e+00    1.58e+00      1.17e-03    8.78e-04      6.99e-02    7.32e-02    4.6e-04
  76200      1.51e+00    1.41e+00      3.90e-03    3.26e-03      6.99e-02    6.54e-02    4.6e-04
  76300      1.60e+00    1.53e+00      8.07e-03    7.97e-03      7.40e-02    7.07e-02    4.6e-04
  76400      1.52e+00    1.50e+00      1.12e-02    1.06e-02      7.05e-02    6.95e-02    4.6e-04
  76500      1.59e+00    1.64e+00      1.66e-03    7.65e-04      7.36e-02    7.62e-02    4.6e-04
  76600      1.62e+00    1.54e+00      9.26e-03    7.72e-03      7.50e-02    7.14e-02    4.6e-04
  76700      1.50e+00    1.52e+00      5.10e-03    3.92e-03      6.97e-02    7.06e-02    4.6e-04
  76800      1.46e+00    1.40e+00      2.64e-03    2.69e-03      6.77e-02    6.50e-02    4.6e-04
  76900      1.61e+00    1.68e+00      2.29e-03    1.81e-03      7.49e-02    7.80e-02    4.6e-04
  77000      1.61e+00    1.46e+00      6.16e-03    4.72e-03      7.48e-02    6.79e-02    4.6e-04
  77100      1.62e+00    1.61e+00      5.56e-03    6.57e-03      7.50e-02    7.48e-02    4.6e-04
  77200      1.46e+00    1.43e+00      5.99e-03    6.04e-03      6.78e-02    6.66e-02    4.6e-04
  77300      1.54e+00    1.67e+00      1.13e-03    8.88e-04      7.17e-02    7.75e-02    4.6e-04
  77400      1.62e+00    1.54e+00      8.49e-03    8.57e-03      7.49e-02    7.13e-02    4.6e-04
  77500      1.49e+00    1.58e+00      7.64e-03    6.82e-03      6.90e-02    7.32e-02    4.6e-04
  77600      1.67e+00    1.66e+00      1.31e-02    1.35e-02      7.72e-02    7.69e-02    4.6e-04
  77700      1.56e+00    1.48e+00      2.16e-03    2.52e-03      7.23e-02    6.88e-02    4.6e-04
  77800      1.74e+00    1.53e+00      6.52e-03    5.11e-03      8.06e-02    7.12e-02    4.6e-04
  77900      1.60e+00    1.53e+00      1.52e-03    2.62e-04      7.42e-02    7.12e-02    4.6e-04
  78000      1.58e+00    1.64e+00      6.07e-03    5.97e-03      7.34e-02    7.61e-02    4.6e-04
  78100      1.65e+00    1.48e+00      1.59e-03    2.31e-03      7.66e-02    6.86e-02    4.6e-04
  78200      1.53e+00    1.52e+00      2.47e-03    9.93e-04      7.12e-02    7.07e-02    4.6e-04
  78300      1.51e+00    1.48e+00      3.22e-03    3.11e-03      7.00e-02    6.87e-02    4.6e-04
  78400      1.57e+00    1.42e+00      5.05e-03    4.93e-03      7.31e-02    6.59e-02    4.6e-04
  78500      1.51e+00    1.51e+00      7.75e-03    7.32e-03      6.99e-02    6.98e-02    4.6e-04
  78600      1.53e+00    1.42e+00      1.83e-04    1.01e-04      7.10e-02    6.61e-02    4.6e-04
  78700      1.57e+00    1.74e+00      6.27e-03    6.85e-03      7.29e-02    8.06e-02    4.6e-04
  78800      1.65e+00    1.61e+00      7.18e-03    7.81e-03      7.66e-02    7.49e-02    4.6e-04
  78900      1.64e+00    1.51e+00      5.30e-03    4.19e-03      7.61e-02    7.00e-02    4.6e-04
  79000      1.63e+00    1.67e+00      2.71e-03    3.19e-03      7.57e-02    7.73e-02    4.6e-04
  79100      1.68e+00    1.59e+00      7.88e-03    7.57e-03      7.77e-02    7.37e-02    4.6e-04
  79200      1.59e+00    1.61e+00      1.88e-03    1.94e-03      7.38e-02    7.48e-02    4.6e-04
  79300      1.52e+00    1.51e+00      8.41e-03    8.85e-03      7.03e-02    7.01e-02    4.6e-04
  79400      1.57e+00    1.41e+00      2.06e-03    1.69e-03      7.30e-02    6.55e-02    4.6e-04
  79500      1.58e+00    1.54e+00      1.15e-03    2.32e-03      7.36e-02    7.14e-02    4.6e-04
  79600      1.52e+00    1.53e+00      7.12e-03    7.57e-03      7.05e-02    7.11e-02    4.6e-04
  79700      1.59e+00    1.48e+00      1.01e-02    1.05e-02      7.37e-02    6.85e-02    4.6e-04
  79800      1.66e+00    1.63e+00      4.97e-03    3.79e-03      7.69e-02    7.56e-02    4.6e-04
  79900      1.59e+00    1.48e+00      5.62e-03    7.23e-03      7.39e-02    6.88e-02    4.6e-04
  80000      1.40e+00    1.37e+00      4.57e-03    4.06e-03      6.69e-02    6.52e-02    4.4e-04
  80100      1.59e+00    1.69e+00      1.07e-03    8.24e-05      7.59e-02    8.04e-02    4.4e-04
  80200      1.65e+00    1.66e+00      4.87e-03    4.41e-03      7.86e-02    7.92e-02    4.4e-04
  80300      1.56e+00    1.68e+00      2.71e-03    4.55e-03      7.43e-02    8.02e-02    4.4e-04
  80400      1.52e+00    1.52e+00      3.29e-03    2.20e-03      7.25e-02    7.24e-02    4.4e-04
  80500      1.60e+00    1.51e+00      3.43e-03    2.06e-03      7.64e-02    7.20e-02    4.4e-04
  80600      1.46e+00    1.48e+00      2.23e-03    2.76e-03      6.95e-02    7.04e-02    4.4e-04
  80700      1.71e+00    1.45e+00      2.09e-03    4.91e-03      8.14e-02    6.92e-02    4.4e-04
  80800      1.50e+00    1.48e+00      4.25e-03    4.00e-03      7.13e-02    7.03e-02    4.4e-04
  80900      1.56e+00    1.53e+00      5.72e-03    5.86e-03      7.41e-02    7.26e-02    4.4e-04
  81000      1.55e+00    1.50e+00      3.43e-03    3.34e-03      7.38e-02    7.15e-02    4.4e-04
  81100      1.67e+00    1.39e+00      2.65e-04    2.73e-04      7.97e-02    6.63e-02    4.4e-04
  81200      1.42e+00    1.56e+00      7.91e-04    9.85e-04      6.77e-02    7.43e-02    4.4e-04
  81300      1.50e+00    1.44e+00      1.94e-03    1.23e-03      7.16e-02    6.85e-02    4.4e-04
  81400      1.53e+00    1.50e+00      8.91e-03    8.77e-03      7.28e-02    7.14e-02    4.4e-04
  81500      1.68e+00    1.62e+00      1.14e-03    2.93e-04      7.99e-02    7.70e-02    4.4e-04
  81600      1.56e+00    1.50e+00      7.59e-03    8.44e-03      7.42e-02    7.14e-02    4.4e-04
  81700      1.55e+00    1.34e+00      2.72e-03    1.73e-03      7.36e-02    6.39e-02    4.4e-04
  81800      1.45e+00    1.59e+00      6.73e-03    7.58e-03      6.90e-02    7.58e-02    4.4e-04
  81900      1.60e+00    1.47e+00      4.20e-03    4.01e-03      7.62e-02    6.99e-02    4.4e-04
  82000      1.54e+00    1.41e+00      3.28e-03    2.81e-03      7.32e-02    6.72e-02    4.4e-04
  82100      1.58e+00    1.44e+00      3.50e-03    2.23e-03      7.54e-02    6.86e-02    4.4e-04
  82200      1.53e+00    1.42e+00      6.56e-04    1.17e-03      7.30e-02    6.75e-02    4.4e-04
  82300      1.57e+00    1.39e+00      4.37e-03    4.22e-03      7.48e-02    6.64e-02    4.4e-04
  82400      1.55e+00    1.54e+00      2.91e-03    2.13e-03      7.37e-02    7.31e-02    4.4e-04
  82500      1.42e+00    1.59e+00      6.73e-03    7.55e-03      6.78e-02    7.56e-02    4.4e-04
